Term	Frequency
hudson		98
camp		98
match		98
voted		98
sunlight		97
exceeding		97
suggests		97
curved		97
exceed		97
vermont		97
inhabited		97
observatory		97
moment		97
express		97
apollo		97
dioxide		97
richard		97
cultures		97
relation		97
continent		97
probably		97
thousand		97
dynasty		97
southward		97
melting		97
gods		97
coral		97
parties		97
1974		97
conservative		97
constitutional		97
fallen		96
holds		96
quantities		96
spot		96
regarding		96
harvey		96
decision		96
tunnel		96
visited		96
testing		96
manned		96
launches		96
legislation		96
versions		96
importance		96
target		96
hydrogen		96
italy		96
instruments		96
unable		96
fossil		96
grown		96
artists		96
finished		96
earthquake		96
gilbert		96
panhandle		96
smith		96
policies		96
crisis		96
entertainment		96
1940		96
soldiers		96
avenue		96
undergraduate		96
wilmington		96
evaporation		95
westerlies		95
catastrophic		95
exceeded		95
edward		95
apparent		95
acting		95
1986		95
receives		95
limits		95
buried		95
mesoscale		95
andor		95
churches		95
networks		95
farmers		95
camille		95
wmo		95
double		95
devices		95
dialect		95
wisconsin		95
flag		95
slavery		95
freedom		95
betsy		95
generate		94
rotational		94
stages		94
64		94
1960		94
say		94
items		94
utility		94
performing		94
consecutive		94
shut		94
featuring		94
classic		94
perpendicular		94
sense		94
summers		94
focused		94
tobacco		94
radiocarbon		94
carol		94
mall		94
easterly		93
quite		93
similarly		93
covering		93
shifted		93
prepare		93
hazel		93
requested		93
request		93
felt		93
35		93
setting		93
squall		93
cumulonimbus		93
rocks		93
farm		93
autumn		93
zeus		93
plain		93
preparedness		93
fuels		93
salvador		93
headed		93
tv		93
clockwise		92
depressions		92
striking		92
attempted		92
spectrum		92
surf		92
surpassed		92
originated		92
integrated		92
400		92
1977		92
array		92
canadas		92
develops		92
disasters		92
display		92
chinas		92
occurrence		92
straight		92
1978		92
advised		92
taiwan		92
ran		92
numerical		92
chart		92
prices		92
administrative		92
assumed		92
decline		92
panama		92
coffee		92
detroit		92
friction		91
corresponding		91
indirect		91
90%		91
standing		91
flown		91
consider		91
150		91
programme		91
website		91
star		91
speak		91
exact		91
extend		91
chain		91
formally		91
victory		91
17th		91
planes		91
1964		91
allies		91
proportional		91
blocked		91
congressional		91
dialects		91
anticyclone		90
westerly		90
collapse		90
reducing		90
replace		90
acids		90
virginias		90
lie		90
quarter		90
gross		90
storage		90
centres		90
proximity		90
lift		90
fresh		90
50%		90
extension		90
containing		90
origins		90
chicago		90
illinois		90
outbreak		90
enso		90
carolinas		90
villages		90
institution		90
authorized		90
obama		90
layers		89
chance		89
periphery		89
favor		89
classes		89
describes		89
annapolis		89
shared		89
platform		89
cruise		89
affects		89
contract		89
possibility		89
purpose		89
soccer		89
flat		89
split		89
sought		89
nws		89
male		89
1955		89
60mph		89
northeastward		89
europeans		89
paris		89
newspapers		89
departments		89
votes		89
vcu		89
planetary		88
dynamics		88
ongoing		88
intertropical		88
situ		88
revealed		88
room		88
flew		88
note		88
technologies		88
varying		88
glass		88
hazards		88
curve		88
column		88
wildlife		88
win		88
presented		88
1984		88
p		88
appalachian		88
racial		88
blacks		88
criticized		88
iris		88
winning		88
belt		87
twelve		87
documented		87
70%		87
thirteen		87
filled		87
requirements		87
landed		87
aspects		87
exception		87
extending		87
transported		87
maintaining		87
mother		87
accident		87
corridor		87
1983		87
1987		87
spending		87
golf		87
movie		87
persons		87
initiated		87
ruled		87
son		87
universitys		87
borders		87
baptist		87
hotels		87
judicial		87
voting		87
purchased		87
antigua		87
vulnerable		86
variability		86
thermodynamic		86
attempts		86
fast		86
kept		86
seventh		86
host		86
craft		86
spoke		86
metal		86
users		86
perhaps		86
preparations		86
specified		86
edition		86
question		86
captured		86
projection		86
torque		86
creole		86
coach		86
decreases		85
70		85
lifted		85
characteristic		85
apart		85
pilots		85
software		85
1982		85
concentrations		85
dependent		85
detect		85
treatment		85
face		85
shot		85
williams		85
evolved		85
notes		85
minority		85
uprooted		85
48		85
portugal		85
representation		85
brown		85
articles		85
1963		85
n		85
junior		85
golden		85
identity		84
reconstruction		84
predictions		84
predict		84
maintenance		84
survive		84
woman		84
departure		84
respective		84
visit		84
biological		84
attention		84
conflict		84
why		84
scheme		84
conventional		84
flora		84
adiabatic		84
traditionally		84
clean		84
young		84
prompted		84
liberal		84
enter		84
submitted		84
recommended		84
concern		84
1967		84
males		84
louis		84
statewide		84
format		84
guadeloupe		84
democrats		84
irene		84
albums		84
kinetic		83
showing		83
et		83
owners		83
love		83
domain		83
join		83
functions		83
payload		83
collected		83
connection		83
heart		83
intensifying		83
allen		83
supercell		83
iron		83
writers		83
irish		83
creates		83
shallow		83
drawn		83
distances		83
contemporary		83
plateau		83
halifax		83
character		83
dean		83
railroads		83
whites		83
crime		83
steady		83
inertial		83
crown		83
alphabet		83
enforcement		83
theater		83
ranking		83
isbn		83
devastating		82
altitudes		82
k		82
contribute		82
disease		82
freshwater		82
anemometer		82
shifts		82
barbuda		82
24hours		82
existed		82
queen		82
anticipated		82
categories		82
principle		82
environments		82
trail		82
animal		82
latest		82
jewish		82
furthermore		82
pv		82
ministry		82
sphere		81
ioke		81
sensors		81
nor		81
traveling		81
signals		81
platforms		81
image		81
mid		81
practical		81
concerns		81
overseas		81
begun		81
pronunciation		81
advantage		81
beneath		81
100mph		81
claim		81
manila		81
wood		81
criminal		81
jones		81
carter		81
understood		80
scholars		80
invasion		80
surrounded		80
positions		80
nassau		80
grounds		80
dark		80
detected		80
ozone		80
32		80
orbits		80
regarded		80
regardless		80
farms		80
stock		80
traditions		80
hard		80
warfare		80
linear		80
establish		80
registered		80
traveled		80
1966		80
price		80
carrier		80
producer		80
charley		80
machine		80
elizabeth		80
mentioned		79
ring		79
viewed		79
termed		79
destroying		79
1959		79
indicates		79
drier		79
proportion		79
retained		79
partly		79
connects		79
consisted		79
globe		79
partial		79
mid-level		79
integral		79
accumulated		79
libraries		79
condition		79
drops		79
obtained		79
alexander		79
jackson		79
barbados		79
blowing		78
blow		78
mythology		78
brief		78
stores		78
governors		78
rescued		78
me		78
rockets		78
application		78
essential		78
paid		78
restore		78
faster		78
dams		78
achieve		78
caught		78
scales		78
remainder		78
1%		78
fiction		78
prevented		78
1930s		78
suburbs		78
buses		78
downgraded		78
airlines		78
bar		78
investment		78
ro		78
register		78
cuban		78
resort		78
squadron		78
dance		78
plantations		78
gustav		78
charleston		78
faculty		78
parcel		77
loop		77
dvorak		77
perform		77
plus		77
add		77
gain		77
observer		77
indicating		77
influences		77
virtually		77
scattered		77
pm		77
1945		77
1962		77
mexicos		77
tennessee		77
web		77
roosevelt		77
publishing		77
non-hispanic		77
unstable		76
evacuees		76
queensland		76
consistent		76
casualties		76
proton		76
segment		76
pure		76
scott		76
hazard		76
jupiter		76
baroclinic		76
papers		76
alaska		76
employed		76
mild		76
millimetres		76
accidents		76
interests		76
ideal		76
my		76
count		76
monitor		76
darwin		76
visual		76
driving		76
joseph		76
characters		76
destination		76
resource		76
establishing		76
occupation		76
missile		76
entropy		76
museums		76
survivors		76
cooperation		76
capitol		76
absolute		75
orbiting		75
10%		75
contributing		75
trajectory		75
40mph		75
stranded		75
fundamental		75
spaceflight		75
slowed		75
arm		75
reflected		75
dennis		75
engineer		75
text		75
fairly		75
ends		75
tied		75
colonists		75
oklahoma		75
probability		75
transmission		75
peace		75
cleveland		75
cuisine		75
monument		75
continents		74
mature		74
disrupted		74
solution		74
suggest		74
disorganized		74
shores		74
orders		74
baikonur		74
vessel		74
fine		74
send		74
cancer		74
115mph		74
topography		74
diversity		74
dont		74
diseases		74
fought		74
collectively		74
combat		74
transitioned		74
mary		74
kentucky		74
floridas		74
page		74
malagasy		74
candidate		74
degenerated		74
amendment		74
experiences		73
kauai		73
1000		73
pier		73
toronto		73
exploration		73
eva		73
nasas		73
navigation		73
element		73
arms		73
delayed		73
electromagnetic		73
supporting		73
mechanics		73
showers		73
pushed		73
strikes		73
competition		73
slight		73
bengali		73
define		73
ireland		73
costa		73
danger		73
huge		73
radars		73
burned		73
muslim		73
export		73
players		73
write		73
participate		73
campeche		73
script		73
senior		73
tournament		73
revolutionary		73
weekly		73
heaviest		72
smallest		72
generating		72
vicinity		72
involves		72
lasting		72
composition		72
delray		72
ida		72
know		72
purchase		72
travels		72
monitored		72
address		72
75%		72
happened		72
thick		72
category1		72
poorly		72
emerging		72
roots		72
learning		72
told		72
none		72
shopping		72
contour		72
missouri		72
statistics		72
44		72
thermodynamics		72
proposal		72
asked		72
parliament		72
consequently		71
directions		71
steering		71
extra		71
depend		71
neither		71
things		71
totaling		71
ad		71
floyd		71
mir		71
burning		71
proved		71
motor		71
triggered		71
2,000		71
runoff		71
apply		71
iraq		71
regime		71
promote		71
g		71
80%		71
succeeded		71
representative		71
1957		71
1958		71
grande		71
presentation		71
provincial		71
pop		71
arena		70
bulk		70
mitch		70
3,000		70
patricia		70
perfect		70
geological		70
attached		70
expand		70
mounted		70
ensure		70
christmas		70
36		70
banding		70
antarctic		70
bases		70
cumulus		70
supercells		70
steam		70
garden		70
markets		70
speaking		70
premier		70
survived		70
sierra		70
francisco		70
freight		70
harbour		70
frances		70
concert		70
initiative		70
tried		70
petroleum		70
refuge		70
career		70
1200utc		70
peter		70
martinique		70
territorial		70
charlotte		70
1947		69
equipped		69
1933		69
1981		69
generators		69
choice		69
columbus		69
yellow		69
mechanisms		69
walls		69
participated		69
birth		69
device		69
trends		69
drainage		69
investigation		69
organic		69
wife		69
manner		69
islamic		69
sir		69
got		69
contributions		69
proper		69
concrete		69
keith		69
stopped		69
tamaulipas		69
rugby		69
senator		69
beer		69
0		68
substantially		68
geophysical		68
lose		68
deadly		68
hypothesis		68
supercooled		68
34		68
reliable		68
1941		68
tops		68
agnes		68
benefits		68
programmes		68
alongside		68
link		68
remove		68
weapon		68
japans		68
185kmh		68
equations		68
ending		68
averages		68
hailstones		68
practices		68
symbol		68
contiguous		68
trying		68
terminal		68
helicopters		68
leadership		68
politics		68
employment		68
eligible		68
copies		68
descendants		68
janet		68
hugo		68
waterfront		68
outward		67
organize		67
sounds		67
error		67
artificial		67
statement		67
75		67
39		67
climatic		67
ecosystem		67
artist		67
overnight		67
persisted		67
exactly		67
33		67
simultaneously		67
120		67
nationwide		67
cited		67
1861		67
approval		67
himself		67
exports		67
coordinates		67
publications		67
comprehensive		67
two-thirds		67
rica		67
erika		67
inez		67
